delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,middlegamma,attention,mark
1288346,182536,38232,55318,11477,12673,12739,2330,37,0
806877,29900,14748,6814,22394,12602,5200,2877,63,1
870612,23074,57491,12735,1651,16346,15603,3823,67,1
157271,91900,150054,27202,33288,52149,14217,3668,81,1
234405,3891,2392,2316,2107,2506,523,235,83,1
194496,57580,48634,17550,28202,18447,3945,4595,78,1
1017461,47299,30472,33060,56994,9005,4098,3642,70,1
73705,44423,3736,19062,9806,11146,5381,1825,69,1
10437,21992,11066,5484,20543,15232,4744,2261,74,1
1443321,91810,56453,16016,28037,18001,3622,2172,69,1
165996,29062,8182,5120,4805,1536,1068,295,61,1
84297,51884,10494,10672,3065,1855,1023,1648,44,0
1112611,169831,67848,15119,28190,14555,9486,3748,26,0
641578,126710,23388,23162,18002,10788,4734,2974,21,0
232415,9599,15715,15835,9420,4871,2864,1592,34,0
412465,84418,28578,23924,26397,6342,9565,4276,38,0
1054835,83478,137879,37673,21045,6207,14048,3557,29,0
105733,19390,10086,2148,4851,3874,1932,1067,37,0
221700,20641,3638,5411,14592,3285,2390,851,35,0
177935,20079,25108,7470,11310,4392,2120,1811,41,0
689661,143944,23806,68471,29940,136812,11106,3875,69,1
1102512,137235,23770,59042,16060,47621,9300,3590,77,1
94057,13845,12301,2629,2849,7985,1815,762,87,1
1978818,165447,47477,7494,76683,27284,20407,15294,90,1
378289,328088,11096,21626,32197,42055,12122,5625,75,1
1116793,522701,44157,6029,74550,31668,17096,9574,61,1
1360338,85990,40194,63362,135045,35379,20570,7467,57,1
718724,8894,16091,3853,9573,2846,1193,401,56,1
1442302,42006,75711,27323,86254,30794,14325,2421,64,1
947635,130122,7683,36721,58222,67328,13292,11523,70,1
515014,27498,34506,14469,7641,6729,7738,1343,70,1
1547305,149436,106537,62189,65074,35299,10604,5258,77,1
90684,21793,1663,7745,4114,1254,972,296,57,1
139352,9096,321,2172,1694,966,178,184,43,0
216236,2830,3116,1483,1634,2088,620,580,56,1
340170,14419,1099,5018,2192,1874,2178,385,64,1
1084517,70417,15647,38249,25966,12326,3669,1815,64,1
